"FIPS","totpop","age","race","education","maritalstatus","employed","medhouseincome","rentpincome","householdsize","healthins","gini","household"
22001960100,6487,85.73,61.85,4.48,47.22,85.25,30703,1.54056606846237,2.81,79.92,0.4668,45
22001960200,6133,88.26,95.24,12.44,56.68,94.8,54219,0.995960825540862,2.91,83.94,0.3481,62.95
22001960300,3820,89.03,91.18,5.9,63.04,94.64,42139,0.944493224803626,2.66,78.04,0.4163,68.89
22001960400,6276,87.33,96.51,7.01,55.5,92.23,43226,1.25850182760376,2.71,89.09,0.3985,57.68
22001960500,6253,87.61,87.65,13.48,60.88,93.06,58056,0.911189196637729,2.95,83.18,0.4407,67.08
22001960600,6057,86.84,79.31,14.05,44.59,93.39,37557,1.65082408073062,2.56,85.96,0.4079,43.23
22001960700,3906,84.84,46.54,8.38,34.01,96.07,22745,2.06199164651572,2.34,77.04,0.5062,33.29
22001960800,5137,82.87,73.6,13.59,43.37,94.39,37047,1.69244473236699,2.55,85.85,0.4659,42.01
22001960900,4806,88.35,42.63,16.09,44.05,86.54,31329,1.85131986338536,2.76,84.1,0.5153,41.76
22001961000,5485,88.48,76.15,5.6,32.36,82.31,29179,1.79923917886151,2.94,78.16,0.4364,33.59
22001961100,3507,88.77,96.38,10.36,55.14,93.83,43520,1.15579044117647,2.71,87.2,0.4067,54.14
22001961200,3744,90.87,97.76,6.07,60.55,90.23,43550,1.09758897818599,2.89,89.42,0.3857,64.97
22003950100,5159,86.86,96.18,11.91,60.76,93.9,43750,1.184,2.96,81.05,0.4134,61.18
22003950200,5558,91.58,65.69,7.08,40.78,89.34,33403,1.51184025386941,2.64,81.91,0.49,48.08
22003950300,2745,81.46,64.55,7.9,35.37,92.19,23996,1.84614102350392,2.19,87.17,0.4816,27.76
22003950400,4517,85.21,73.88,9.5,51.62,94.54,42455,1.33317630432222,2.71,89.19,0.3954,53.75
22003950500,7761,87.73,65.31,10.99,42.41,91.77,42800,1.42523364485981,2.48,80.83,0.4193,50.72
22005030101,6328,89.1,90.53,25.98,69.57,90.9,75919,0.783730028056218,2.8,85.62,0.329,79.31
22005030102,5084,91.13,95.2,11.31,59.6,96.85,63947,1.36362925547719,2.89,83.6,0.3662,60.92
22005030103,5993,89.8,98.13,13.92,63.28,94.93,62235,1.31276612838435,2.85,86.53,0.3739,66.67
22005030203,10467,92.64,85.18,41.63,64.84,96.47,103293,1.3030892703281,3,94.05,0.3277,71.03
22005030204,10746,93.18,80.76,29.3,56.39,96.48,75792,0.965801139962001,2.85,90.49,0.3336,60.33
22005030205,10161,94.31,81.5,31.39,59.39,95.07,76906,1.39520973656152,3.03,88.61,0.3674,64.55
22005030206,8482,91.32,74.19,18.87,53.18,93.06,61327,1.48221827253901,2.74,80.23,0.354,54.54
22005030300,13442,93.23,70.31,35.48,70.07,94.96,85053,0.975862109508189,3.06,90.49,0.4197,70.44
